full_text;id_str;topic
"GoogleVET:NDIS job demand prompts new courses at TAFE - The Border Mail https://t.co/xgpJX567Jq";"1012614472597372929";"politics"
"Trying not to write a tweet about American politics like https://t.co/KtcKKrxDSC";"1012614471611604992";"politics"
"“You become what you pretend to be. Be careful what you pretend to be.and if you find you can’t live like that? If you find politics is twisting you out of all recognition? Hit the road, “ that’s if you have a ‘self’ left.Fine article ⁦@PeatWorrier⁩  https://t.co/SD7IAx5Y4I";"1012614470391271425";"politics"
"Those who said he was gay now say he was humble and God fearing man.

If you educated lots don't stop being blinded by politics, you'll ruin this country's future with stupidity.  Educated illiterates who'll do anything to elders sake of politics";"1012614458131312640";"politics"
"This is what I said but most of PH supporters esp the young twitterians who just know politics few years back keep defending the wrong-deeds done by some new PH leaders. https://t.co/gSZ1R5CKtI";"1012614456386322433";"politics"
"Well this was a joy of a morning read...

https://t.co/RFCRNssQld";"1012614445019942912";"politics"
"Turncoat Fraudbulls munificence?  Yeahh! Right!!

Share this little informstional snippet!

https://t.co/4WvRjWeyhh";"1012614438107561984";"politics"
"Sen. Lindsey Graham whacks Trump over attacks https://t.co/ebHXQmVvc9  ""Unfortunately, one senator decided 2 put the thumb down late in the morning.and that was not a good thing, when he put that thumb down.""  proving military mom right again "" It waS like talking to a toddler""";"1012614436337512449";"politics"
"We are talking about human lives and @FemAdesina is busy doing a comparison and talking politics. It simply shows what this administration places value on - NOTHING; absolutely nothing. Negative CHANGES here and there. No need to talk much. Una dey go by 2019.";"1012614422957785088";"politics"
"Energy ministry's London offices are ruled energy inefficient | via @BBCNews

https://t.co/z0ukzzDYRv";"1012614418822258688";"politics"
"Donald Trump is pretty sure he's nailing this whole 'President' thing https://t.co/nHV3h33low";"1012614400023367681";"politics"
"Very funny if it were not so toe curling.  https://t.co/eq3HcaX83c";"1012614386341568512";"politics"
"Alexandria Ocasio-Cortez's victory in New York is inspirational! She ran an honest campaign centre on human rights and progressive politics. #womenforelection #politics #democrats #NewYork";"1012614382659035136";"politics"
"George Soros's foundation backs campaign to reverse Brexit https://t.co/1QwxKPFpMv";"1012614378997342208";"politics"
"Lol. God will punish all of you that are using human lives to do politics https://t.co/sjAHwNoCGS";"1012614359007350784";"politics"
"MP breaks House of Commons taboo by discussing her period
- Danielle Rowley highlights period poverty during debate on cost of sanitary products https://t.co/XAkBILW0x3";"1012614344612499457";"politics"
"Arnold Schwarzenegger mocks Trump on coal, asks if he'll bring back Blockbuster next https://t.co/iaPTTx80RS";"1012614334462259202";"politics"
"People in Canada must shoulder the blame for the mess in politics because of our apathy, Democratic power is not taken away it is given away and then we normalize the fact that our governments rob us blind and follow their own agenda. Time for us to change this.";"1012614333853908993";"politics"
"How Rosenstein’s and Wray’s testimony undermined GOP efforts to undermine the Russia investigation https://t.co/UVCTrckWIr";"1012614313654214656";"politics"
"'Don't get cute' Trump tells Harley-Davidson while feting Foxconn https://t.co/mfK8b1fnUI";"1012614303474700288";"politics"
"Why A Sulking Siddaramaiah Doesn’t Bode Well For The Congress-JD(S) Coalition https://t.co/OSbHjkjlH9 via @swarajyamag";"1012614289843081217";"politics"
"Tariffs 101: How Canada's counter-tariffs on U.S. goods work, and what they'll do https://t.co/rsGhCpgyIS https://t.co/zpZB8BRzym";"1012614284512149505";"politics"
"Rosenstein, Wray face angry House Republicans in hearing 
#FireMueller #FireRosenstein  #DrainTheDeepStateSwamp  #DrainTheDeepState https://t.co/Fp3blUpq6v";"1012614276069109761";"politics"
"This you make a Grow half figure never The the from the that It’s nations politics";"1012614266707496965";"politics"
"U.S. Supreme Court confirmation process likely to follow pattern used for Neil Gorsuch https://t.co/eGokI1W0A5";"1012614257505177605";"politics"
".@Jonah_Lipton  sheds light on the significance of family politics and the prominence of women in decision-making  in #SierraLeone. https://t.co/cC03UDgScr";"1012614244276293633";"politics"
"Generational change and youths participation in Nigerian politics https://t.co/U6WLorug5S";"1012614229722005505";"politics"
"Why women fear a 'dire, immediate' rollback of abortion rights after Justice Kennedy's retirement https://t.co/MLv2FGbIuo";"1012614228946104320";"politics"
"Tokyo Followers: Our sister organization, @SPF_PR, will host a July 17 discussion on ""Women and Politics in the Time of Trump."" U.S.-based @minegaps co-founders @kristinhaffert and @JessicaNGrounds will speak. RSVP: https://t.co/9JB9KtyzRX";"1012614227092221952";"politics"
"🗞️ EPA inspector general opens new probe into Pruitt's travels

https://t.co/a20LUyfV2P 

#Politics Article Published on April 19, 2018@1:14pm";"1012614226202877952";"politics"
"Thought Factory: The Good, The Bad and the Unsaid! #RSA #Zexit #ANC #leadership ^10 https://t.co/Ia3Y6W9TlW";"1012614224865103873";"politics"
"Unite around Julia Hartley-Brewers style of politics? I'd rather eat **** and die personally https://t.co/GDvMogKAMU";"1012614222117855232";"politics"
"Arkansas legislator arrested for failing to pay income taxes for several years https://t.co/0UAW5dPu7k https://t.co/LaXJW9yNR7";"1012614220326764545";"politics"
"Public support continued EU #FreedomOfMovement in exchange for access to #SingleMarket
#Brexit #Immigration #FinalSay #StopBrexit
https://t.co/qNBQUyb4xb";"1012614207517478912";"politics"
"Donald Trump is pretty sure he's nailing this whole 'President' thing https://t.co/nIOVWSbcfS https://t.co/EoSN35nkeD";"1012614205734653953";"politics"
"Welcome to the Brexit Britain. A land of opportunity and democracy. For the many, not the few. Yeahhh.

Lord Ashcroft criticised after urging 'ambitious' British firms to move to Malta after Brexit https://t.co/oEDDtxfw3Y";"1012614197522391044";"politics"
"Alexandria Ocasio-Cortez is the intersectional remix of Latinx roots and socialist politics https://t.co/lBtmI8vrI6 https://t.co/RjzpeXkAEm";"1012614189209153538";"politics"
"#FreeTradeDeals will have limited benefits for UK, warns Philip Hammond
#Brexit #TradeDeal #FinalSay #StopBrexitSaveBritain
https://t.co/p0EqN0K4IQ https://t.co/DIdcztWxWu";"1012614188940873729";"politics"
"Several billionaire oligarchs with deep ties to the Kremlin made huge, $1M+ contributions to Trump's inauguration fund and were granted... https://t.co/sq6bq3liAz";"1012614183307960320";"politics"
"freedom, art and creativity can change a community faster than politics";"1012614183098175488";"politics"
"""In any case, in a country where politics and politicians are anything but boring, the Ukrainian presidential race will be one to watch."" writes Robert Zapesochny #WashTimesOpEd https://t.co/iAJeX5wmBE";"1012614182892654592";"politics"
"How the ‘Bad Boys of Brexit’ forged ties with Russia and the Trump campaign — and came under investigators’ scrutiny
#FarageOnLBC #LordHawHaw
https://t.co/GnQX0IVbKb";"1012614178098565120";"politics"
"U.S. Supreme Court confirmation process likely to follow pattern used for Neil Gorsuch https://t.co/Xep9SqwLiE";"1012614174172766213";"politics"
"Ex-MP Irranca-Davies joins Welsh Labour leader race https://t.co/ZpiItdhNI8 https://t.co/kYmEKgDAyJ";"1012614170641096704";"politics"
"Why BJP succeeded in hijacking the anti-Emergency struggle https://t.co/Wxv3YmjeEU via @DailyO_ by @waglenikhil";"1012614170494283776";"politics"
"Philip Hammond warns Trump against triggering full trade war https://t.co/nY2fjNRzRD https://t.co/Z3XXf6611i";"1012614165301735429";"politics"
"Income Inequality outside the box - via @smedian_network #Economics #Imf #Politics #Economy #Business https://t.co/bmCYlPCPpL";"1012614158741884929";"politics"
"*Two years later 
Theresa Mayhem calls for #Brexit talks to accelerate and intensify – Politics live

https://t.co/q9wfTYctic";"1012614150575525889";"politics"
"Fascinating story on how businesses get caught up in international politics. Interesting that so many non-US carriers have agreed to this already. Per @Reuters https://t.co/vt85R1Q41d";"1012614147064754179";"politics"
"Prior to his testimony, the commission found that the allegation that Pillay received an undue “early retirement package” was unfounded. #SARSInquiry

https://t.co/sLvMZOfyx3";"1012614147014610946";"politics"
"Trump, Putin to meet in Finland in July https://t.co/ZBh7HsVRJe";"1012614146796515333";"politics"
"Oxford celebrated the return of philosopher and former Oxford University politics professor John Gray (Exeter, 1968), visiting to discuss and publicise his latest book Seven Types of Atheism. Read the Blog: https://t.co/yFBiSAgYFO https://t.co/AdQDy8Kh1f";"1012614146473394176";"politics"
"Changing #Monsoon patterns and rising temperatures driven by #ClimateChange  could cost India 2.8% of gross domestic product, says a new World Bank report.  https://t.co/HddvZnpxFs";"1012614145726865410";"politics"
"Next Astana format meeting to be held in Sochi July 30-31 — diplomat
https://t.co/8gdBI8b11i https://t.co/wwMFCnVGZl";"1012614145114599424";"politics"
"EVENT: The panel of @EPDeu on 4 July will explore the interconnected challenges of corruption and exclusion, by looking at the cost of getting into politics. Register now! https://t.co/LrYVEr4A2Q";"1012614145093525504";"politics"
"If the Adityanath government succeeds in reviving the proposal to move 17 castes from the OBC list to the SC list, the number of claimants to the OBC quota will decrease, allowing a reapportioning that may not disrupt existing privileges.

https://t.co/CuVDbxyPNa";"1012614144908902400";"politics"
"'That’s the real reason Remainers spend so much time on Corbyn: because the alternative is to admit that the referendum has been lost and that the path back to membership of the EU is a long and fraught one' 👇@stephenkb 

https://t.co/lKbZXGkiZ0";"1012614132171001856";"politics"
"APNewsBreak: Illinois on hook for $300M in nursing care https://t.co/QX97TcwpGA";"1012614128429617152";"politics"
"New 'medically confirmed' case of US employee in Cuba hit in mystery health incidents https://t.co/VsiK9WSH3P https://t.co/GJhMyHe1yt";"1012614120070189057";"politics"
"How wo derful g or us, thanks to Brexit we will be free to have slaves and torture people. You have to wonder at the sanity of people who vote to remove their own rights yo be treated differently decently. https://t.co/uAUqZXHiex";"1012614118988304385";"politics"
"Napping May scores own goal in face of Belgium Brexit striker | John Crace https://t.co/U2SONzEhTU";"1012614072926457856";"politics"
"#NHS70 just in waiting room for surgery. Speaking to a nurse who opened up about a lot of things. The her experience working within the NHS. It's future and the politics going on. Aware of these issues and also light shed on how serious they are makes you even more...";"1012614069138939904";"politics"
"Kumar Vishwas Asks AAP Leaders to See Surgical Strike Video, Apologise for Doubting Army Ops https://t.co/DBboNsCuvW";"1012614055394066433";"politics"
"I have no loyalty to any specific party in politics. I just choose whom I believe fits with my sense of decency and morality. The point is I choose and I vote.";"1012614036838440960";"politics"
"Union minister #AnantKumarHegde sparked another controversy by comparing the Opposition leaders to ""crows, monkeys and foxes"". ""

https://t.co/Mmzizhr4cc";"1012614022724587520";"politics"
"im depressed about the state of politics in america";"1012614017024606209";"politics"
"#RR #Africa #Politics | #Zimbabwe's #Mnangagwa says grenade caused blast at rally last week https://t.co/PfBVCFRa2N";"1012614016806645760";"politics"
"Donald Trump is pretty sure he's nailing this whole 'President' thing - https://t.co/OxeYoxFQMf";"1012614015950970880";"politics"
"Caroline Lucas calls for less pious attitude to Green living https://t.co/VzWGH9kB57";"1012614015875538944";"politics"
"Intellectual propert theft causes US to shorten visas for Chinese. 
https://t.co/cxwaEj8bft https://t.co/LZd2ZhO0Zn";"1012614005163114496";"politics"
"Ex-MP Irranca-Davies joins Welsh Labour leader race https://t.co/M5Qbt40cH8 | BBC";"1012613967024480256";"politics"
"Joe Biden and Hillary Clinton top 2020 Democratic presidential candidates in new poll https://t.co/iaSNTGWEyU #StillWithHer";"1012613929900695552";"politics"
"Fam, remember our discussions on politics?

The same reason I gave the last time is the same reason I'm going to exercise my civic right this time. Security of lives and properties https://t.co/BQr64aJ0bx";"1012613919469424640";"politics"
"PM in Brussels 4 #Brexit negotiations; hope she has better luck against the Belgians than Southgate #worldcup #ENGBELand hopefully no own goals https://t.co/bR03Mmm2Oe";"1012613918710292480";"politics"
"Why  I don't know people are not worried about their position in election instead running behind  others Handle before grand alliance: Amit Shah to Mamata Banerjee
https://t.co/2ZF4UCdzzY";"1012613881158660096";"politics"
"Imagine having so much privilege that politics just... don't affect you in any way so you can see them as an abstract concept rather than a fight for basic rights of marginalised people https://t.co/tKeygJ2bIk";"1012613857238568960";"politics"
"https://t.co/6zu2IRAXV1 ""In reality, identity politics simply represents the overt political manifestation of underlying human needs for affiliation, belonging, and community."" #evolutionrypsychology + #politics / #politicalscience = 🔥 https://t.co/L0xeX2aJDG";"1012613849978212352";"politics"
"https://t.co/yv4h9sR6iN : 057b7252-0207-4666-b297-b55ab1c0bda8";"1012613843300823040";"politics"
"On the front pages this morning - #Brexit news, #WorldCup results, @GSofA and more https://t.co/nrIpunYDCf";"1012613841124057088";"politics"
"Made me laugh anyway. I hate to say it but most people haven't a clue about politicsand the elite twats know this. That's why they pass inconceivable things through parliament for their gainsand the working classes demise. It's gotta stop. https://t.co/6rDxExN7FH";"1012613834002051072";"politics"
"Another .@DNC #BOOMERANG

Maxine Waters says she's faced increased threats, cancels attending 2 events @CNNPolitics https://t.co/DAx6I5ngYz";"1012613783553003520";"politics"
"TRUMP SHOULD NOT BE ABLE TO CHOOSE A LIFETIME APPOINTEE WHILE HE IS UNDER FEDERAL INVESTIGATION. FULL STOP.";"1012204061817491456";"trump"
"Here’s my message to House Republicans: 

Wake up. Do your job.

You swore an oath to the Constitution, not to this President. Your job is oversight, not to help Trump’s legal defense. 

These attacks on our justice system must end. https://t.co/0sWIri73hF";"1012387126187515904";"trump"
"Anyone who tells you that Roe v. Wade is ""not really at risk"" doesn't know what they are talking about.

Anyone who votes for Trump's nominee is voting to overturn Roe.  Period.";"1012034865699721217";"trump"
"CBS News interview with ICE whistleblower interrupted by surprise visit from government agents #SmartNews 
#HONESTY TO THE #TraitorTrumpAdministration
IS LIKE #KRYPTONITE TO
#Superman 
KUDOS To The ICE Whistleblower  https://t.co/zFtpHgkp7V";"1012614621289689089";"trump"
"Court Orders #DOJ to Produce #FusionGPS Records, Judicial Watch Says. 

#Trump #MAGA #AmericaFirst #America #USA #GOP #Republicans #Democrats #liberals 
https://t.co/GL3ZRRlnes";"1012614598548172800";"trump"
"Trump wasted no time using SCOTUS as a political weapon in the #midterms: https://t.co/aD10P5IH6A https://t.co/mqfB8Vc8PW";"1012614585310851073";"trump"
"Russian pop singer linked to Trump says music video was 'satire'

A surreal new You Tube video released by a Russian pop singer who is a key figure in the investigations into ties between the Kremlin and the 2016 Trump campaign was a “satire” making fun of “some of the thing… https://t.co/ilNhnW0Djj";"1012614583037628416";"trump"
"As the U.S. defense secretary drifts further from President Donald Trump’s inner circle, his mission gets clearer: preventing war with Tehran. https://t.co/3b23QLbDKO";"1012614579237609472";"trump"
"What I don't get is how Rep @Jim_Jordan can talk at all with Trump's dick shoved so far down his throat.";"1012614576595087362";"trump"
"THIS WE CAN NOT DO!!!!!!!
Watch ""Jon Stewart Is Ready To Negotiate With Donald Trump"" on YouTube - https://t.co/wNnAAhgAzr https://t.co/womVz3VU8r";"1012614569364217857";"trump"
"Sen. Lindsey Graham whacks Trump over attacks on John McCain - CNN Politics https://t.co/7kq4jixd6s";"1012614566889443328";"trump"
"Why is #Washington spending billions on #military infrastructure in #Europe but non at home? Answers on a postcard! https://t.co/dSeP0S4wCM https://t.co/Bw3l5656Jc";"1012614566277050368";"trump"
"Trump/USA hawks want to replace one horror regime of mullahs with another horror regime MEK who are as worse as Islamic republic, Iranian people don’t want any regime based on religion, Islamic regime has done untold damage to Iran and Iranians for past 40 years, no theocracy https://t.co/lvVfF37WZ3";"1012614565375422464";"trump"
"Hundreds arrested in DC #protest ing #Trump #immigration policy https://t.co/xUcInTG7Z1";"1012614564817534976";"trump"
"#Trump promoting @MyPillowUSA at rally: ""he does make a great product, great pillows. I actually use them"" 🙄 @ThinkProgress #MyPillow
https://t.co/J0aLue0xez";"1012614560841334784";"trump"
"In Wisconsin Visit, Trump Cheers One Company and Criticizes Another https://t.co/OHxUipZPXD";"1012614560078065664";"trump"
"New post (First Lady Melania Trump Makes Second Migrant-Crisis Visit, This Time Without an Offensive Jacket) has been published on Like|follow|subscribe - https://t.co/6ANNxrEV78";"1012614557989261312";"trump"
"Y’all gonna argue with a huge panel of poli-sci experts? https://t.co/RnWTr8fK2r";"1012614556437315584";"trump"
"It's obvious at this point, that Trump is nothing  more than a brainless orange fart, who's manipulated by everyone around him, who has more than 2 brain cells, for their own vile agendas-
But GEEZUS F**KING CRYST, can't he just try NOT to be a human disaster for once?! https://t.co/zShgXYsB9E";"1012614554004672512";"trump"
"Over 500 women, including an Indian-American arrested during protest against Donald Trump's immigration policy https://t.co/jUZMLRkECa";"1012614551999799296";"trump"
"Michael Moore Reveals Release Date for His Anti-Trump Doc https://t.co/qD8dz4Nsq0";"1012614549403570176";"trump"
"Donald Trump, Vladimir Putin to hold first summit meeting in Helsinki on July 16: White House https://t.co/nec3GDwyCd";"1012614533129662464";"trump"
"Meanwhile #Trump runs away from the journalists asking him whether he has any comments on #Annapolis, his body language showing a shit load of annoyance. Distressing America. https://t.co/g54PPrGOiQ";"1012614529467940864";"trump"
"Trump now has a Tennessee weed bill with his name on it – VICE News https://t.co/vgToXmgvNB";"1012614529212207106";"trump"
"And the first responsible for this crime is Trump with his attacks on the press ! https://t.co/xxczhwT2t7";"1012614529128259585";"trump"
"Rep. Rob Bishop: Trump's right. It's time to ditch the filibuster and fix our broken government https://t.co/erAjjyTxxP";"1012614514171244545";"trump"
"I come from a violent family. Used to fightand get in trouble in my youth. Spent the last nearly 2 decades as a pacifist, trying to make amends. But this adminand these #Trump supporters make me want to beat the gd snot out of someone! 
#capitalgazette #TheResistance #Resist";"1012614504545488896";"trump"
"Trumpand his peons have completely trashed rule of law. We know the unprecedented political monkey hearings against Rosenstein is Republicans protecting a criminal traitor , to try to hold him on contempt,  to fire Rosensteinand place a Trump loyalist in place to shut down Mueller";"1012614499260608512";"trump"
"On #TheSpew today, @WhoopiGoldberg pleaded with constitutionalists to ""stay out of her vagina!""😦...BARF! Forget politicizing school shootings, Globalists/Dems; Just threaten gun owners with Whoopi's VAJ! They'll either surrender their guns...or shoot themselves! 😉
#MAGA #Trump";"1012614498421796865";"trump"
"According to the left, every event big and small is proof positive that their Trump Derangement syndrome is entirely warrented. https://t.co/C8ys4ts8uN";"1012614497171922944";"trump"
"After Hillary lost, I watched how all my minority friends blamed white people for everything, even advocating for white genocide, and competed to be the biggest victim during Trump’s presidency. I realized they were not victims, and neither was I. I walked last year #walkaway";"1012614495972122624";"trump"
"New research from the cosmology department at Trump University suggests that the Big Bang occurred in order to take advantage of the USA.";"1012614495749967875";"trump"
"This is really really really bad. They’re on the path in making Trump a king above the law. https://t.co/9laSer9vHB";"1012614494231515136";"trump"
"Why should we pay to protect him, this mad man?!

He is rich enough. He should pay. https://t.co/b6zH7sFZFd";"1012614492683997185";"trump"
"A point that seems to be lost on poor #Trump supporters. https://t.co/NVAlzy22qi";"1012614490909741056";"trump"
"The shooter was, no doubt,  whipped up into an inarticulate frenzy by #Trump and his relentless whining about ‘fake news’.  A useful idiot of the Right gone rogue. https://t.co/3gaHEI0boS";"1012614485473837056";"trump"
"siri: did donald trump cause the blight";"1012614480788799489";"trump"
"Trump heads to Davos amid backlash from mainstream media https://t.co/qYJ4ZMp0lL";"1012614477580156928";"trump"
"Trump's Shameful Response to the Killing of Journalists Stands in Stark Contrast to Justin Trudeau's Solemn Statement https://t.co/VRGnrrhswj";"1012614476779147265";"trump"
"Trump Supporter #DonaldTrump #JarrodRamos https://t.co/Cwkr7fC6vM";"1012614474048638976";"trump"
"I absolutely do not understand why trump supporters don't question this!! WHY???! https://t.co/06v8V8oCZO";"1012614473306210304";"trump"
"Demonstrators take over Michigan county commission meeting, shouting ""ICE out of Kent County.""

It was one of several protests across the country against the agency amid uproar over Trump administration's immigration policies. https://t.co/nbFpgvlH8q https://t.co/IBPyf6fpMa";"1012614461985886208";"trump"
"Trump Rapidly Expands Cold War-Era Footprint In Europe To Counter Russia https://t.co/x3p0gVehwI";"1012614459125387269";"trump"
"#Trump is to meet #Putin in #Finland on July 16th for his annual employee review. https://t.co/ugloggozEv";"1012614458064228352";"trump"
"Trump now has a Tennessee weed bill with his name on it https://t.co/ImuMQKFUoA";"1012614448194949120";"trump"
"Well this was a joy of a morning read...

https://t.co/RFCRNssQld";"1012614445019942912";"trump"
"Hannity sponsors whatever moral values you got left step up and ""finish"" Sean Hannity. He blames everyone for the Gazette shooting from Obama to Maxine Waters when no one incites violence toward the press more than his man crush Trump. Enough is enough for this disgraceful creep. https://t.co/db5k9QWG8p";"1012614437906403329";"trump"
"Sen. Lindsey Graham whacks Trump over attacks https://t.co/ebHXQmVvc9  ""Unfortunately, one senator decided 2 put the thumb down late in the morning.and that was not a good thing, when he put that thumb down.""  proving military mom right again "" It waS like talking to a toddler""";"1012614436337512449";"trump"
"went on bumble bc i’m tired of playing games (contradiction I already know) why am I getting matched up with red neck trump supporters I am HURT";"1012614431283515392";"trump"
"Hey @ChelseaClinton, look up the 1996 law that your daddy dearest signed to make this ALL happen. Trump is just upholding your pervert fathers law.😘 https://t.co/uHJRbPMzua";"1012614430297911296";"trump"
"Laura Ingraham streaming Live https t co wS57bCABZ6 tcot talkradio #Trump FoxNews LifeZette MAGA";"1012614427265392640";"trump"
"Kylie Jenner and President Trump make cut on Time's list of 25 most influential people on Internet https://t.co/umf3gkkLUp via @bdnews24 #dailymail";"1012614424509714434";"trump"
"Guess who helped the rise of Europe’s mini-Trumps? Brexit-poisoned Britain | Guy Verhofstadt https://t.co/8MVKFUdF2n";"1012614422932541440";"trump"
"Fall of the American Empire    https://t.co/OsRGA3WMeB";"1012614416527953920";"trump"
"EU leaders unite over Trump tariffs, foreign investments https://t.co/DxoDLInj5M";"1012614408076496896";"trump"
"My interview with Professor Gordon Flake in this week’s Australian Outlook #PerthUSAsiacentre #ProfessorGordonFlake #AustralianOutlook #FlaviaBellieniZimmermann #NorthKoreaSummit #SingaporeSummit  https://t.co/0JODjYvELi";"1012614407380131840";"trump"
"Companies used Trump's tax cut for record stock buybacks, not wages https://t.co/OiuWOsvvYf";"1012614407258505222";"trump"
"'Canadians Are Livid' About #Trump And Are Hitting Back By Boycotting U.S. Goods https://t.co/aOjPozVrt3 via @NPR https://t.co/eY8asujvr3";"1012614403152384000";"trump"
"Donald Trump is pretty sure he's nailing this whole 'President' thing https://t.co/nHV3h33low";"1012614400023367681";"trump"
"CNN: Shooting survivor to Trump: We need more than prayers.
https://t.co/LOYduaCljD

via @GoogleNews";"1012614399369113600";"trump"
"Jim Jordan and the rest of the Republicans do not have the right to know what is going on in the Russian investigation. This is a criminal investigation and it is not their business to know what mullerhas if they stop this investigation it only proves that Trump is guilty";"1012614389772443649";"trump"
"May mentions: 4% | Corbyn mentions: 0% | Farron mentions: 0% | Trump 🍦 mentions: 4% | Sport 🏆 mentions: 0%";"1012614386740015105";"trump"
"Trump's Space Force in His Own Words https://t.co/zDcCoelyVp via @YouTube";"1012614386605797377";"trump"
"Democrats Tie Trump Supreme Court Pick To Russia Investigation https://t.co/ySgKagA2QE";"1012614382092632064";"trump"
"Judge Kennedy was compromised by his son (Justin) as Director/Global Head of Real Estate Capital Markets at Deutsche Bank's affiliation /relationship with trump as being his banker/investor for loans over a billion dollars, and yet he didn't declareand didn't recuse.Investigate. https://t.co/LzaaE5wDHO";"1012614375750823936";"trump"
"Non Trump supporters will get this, Trump supporters not so much https://t.co/UGExk9GOw8";"1012614347384918019";"trump"
"Melania Trump Figured Out How to Dress Appropriately for a Border Visit - Vanity Fair https://t.co/ZAuPeAp97J";"1012614336055894016";"trump"
"Arnold Schwarzenegger mocks Trump on coal, asks if he'll bring back Blockbuster next https://t.co/iaPTTx80RS";"1012614334462259202";"trump"
"Mazda Joins Toyota in Condemning Trump's Car-Tariff Plans https://t.co/pruiEM784i";"1012614332503347200";"trump"
"This Indian man actually prays and worships Trump. I don’t know why this is so funny. I can’t stop laughing. https://t.co/ozDFHy1eRa";"1012614329458405376";"trump"
"Trumpand GOP OWN THIS. Capital Gazette shooting suspect is being charged
https://t.co/PpmV6lqhF6";"1012614327898198016";"trump"
"Everyone who loves Trump should read @StephenKing s Under the Dome. Jesus, the scary similarities...";"1012614326467923969";"trump"
"stonecold2050 Isn't it always? Heck, I'd have put money on that even before we knew anything. But Trump will ignore that as alwaysand go onand on lying about the danger from brown skinned gangs. Another fact free alternative argument from our untethered to the truth president.";"1012614319287291905";"trump"
"Trump appears to make up a conversation with steel company executive - MSNBC🚨tRump psychotic‼️Imagines phone calls that NEVER OCCURRED 😳🚑🏨 https://t.co/dj1GlabCNs";"1012614314128265216";"trump"
"Putin bears much of the blame. Something to remember when Trump goes to Helsinki. https://t.co/hUh0HXWMvw";"1012614308122021888";"trump"
"Almost 600 arrested at Washington protest over Trump immigration policy -Demonstrators sat on floor of Senate office building to condemn treatment of migrant families, with more rallies planned https://t.co/ZTotxbLAp8 https://t.co/R6kc061eHl";"1012614304107986945";"trump"
